Day-month-Year,D_Week,Police_Checks,Fines,Sanction_rate,New Positive,No. of Tests
11-3-2020,4,107879,2165,2.006878076,2313,12393
12-3-2020,5,142944,4658,3.25861876,2651,12857
13-3-2020,6,160772,6977,4.339686015,2547,11477
14-3-2020,7,138994,6203,4.462782566,3497,11682
15-3-2020,1,114891,6951,6.050082252,3590,15729
16-3-2020,2,172720,7890,4.568087077,3233,13063
17-3-2020,3,187455,8089,4.315168974,3526,10695
18-3-2020,4,200514,8297,4.137865685,4207,16884
19-3-2020,5,200842,9193,4.577229862,5322,17236
20-3-2020,6,223633,9888,4.421529917,5986,24109
21-3-2020,7,208053,11068,5.319798321,6557,26336
22-3-2020,1,157621,10326,6.551157523,5560,25180
23-3-2020,2,228550,9949,4.353095603,4789,17066
24-3-2020,3,228057,8310,3.643825886,5249,21496
25-3-2020,4,202188,5774,2.855758007,5210,27481
26-3-2020,5,183578,1515,0.825262286,6153,36615
27-3-2020,6,210365,2783,1.322938702,5959,33019
28-3-2020,7,203011,4942,2.434350848,5974,35447
29-3-2020,1,156962,6623,4.219492616,5217,24504
30-3-2020,2,222450,6348,2.853674983,4050,23329
31-3-2020,3,230951,6608,2.861212985,4053,29609
1-4-2020,4,246365,7080,2.873784831,4782,34455
2-4-2020,5,246829,7659,3.102957918,4668,39809
3-4-2020,6,254959,8187,3.211104531,4585,38617
4-4-2020,7,229104,9284,4.052308122,4805,37375
5-4-2020,1,186741,11022,5.90229248,4316,34237
6-4-2020,2,271675,10375,3.818901261,3599,30271
7-4-2020,3,279864,9999,3.572806792,3039,33713
8-4-2020,4,286912,10193,3.552657261,3836,51680
9-4-2020,5,295554,10105,3.419002957,4204,46244
10-4-2020,6,301708,10442,3.460962255,3951,53495
11-4-2020,7,280717,12514,4.457870382,4694,56609
12-4-2020,1,213565,13756,6.441130335,4092,46720
13-4-2020,2,252148,16545,6.561622539,3153,36717
14-4-2020,3,265131,9554,3.603501665,2972,26779
15-4-2020,4,,,,2667,43715
16-4-2020,5,,,,3786,60999
17-4-2020,6,,,,3493,65705
18-4-2020,7,,,,3491,61725
19-4-2020,1,,,,3047,50708
20-4-2020,2,,,,2256,41483
